Rk,Team,Seed,Conf,W,L,AdjEM,AdjO,AdjO_R,AdjD,AdjD_R,AdjT,AdjT_R,Luck,Luck_R,AdjEM2,AdjEM_R,OppO,OppO_R,OppD,OppD_R,AdjEM3,AdjEM_R4,R64,R32,R16,R8,R4,R2,Winner,Conference,year,prob_loss,prob_win,Outcome,prob_loss_new,prob_win_new,Outcome_new
2,Michigan,1,B10,20,4,30.79,119.4,6,88.6,7,66.8,261,0.026000000000000002,115,16.87,14,111.3,12,94.5,18,2.99,158,1.0,,,,,,,E,2021,0.391145843,0.608854157,1,0.4209999832866269,0.5790000167133732,1
8,Alabama,2,SEC,24,6,24.99,111.7,34,86.7,2,73.9,9,0.031,107,14.2,27,109.7,28,95.5,32,8.88,70,1.0,,,,,,,E,2021,0.306502163,0.693497837,1,0.35195270822052777,0.6480472917794723,1
1,Gonzaga,1,WCC,26,0,36.62,126.1,1,89.5,10,74.8,4,0.018000000000000002,136,7.82,94,105.7,100,97.9,96,5.99,106,1.0,,,,,,,W,2021,0.44298659100000004,0.557013409,1,0.43149319521545637,0.5685068047845437,1
4,Baylor,1,B12,22,2,29.5,123.3,3,93.8,44,68.4,179,0.05,69,9.57,78,106.4,90,96.9,66,-4.18,270,1.0,,,,,,,S,2021,0.535840133,0.464159867,0,0.522303372964129,0.47769662703587107,0
7,Ohio St.,2,B10,21,9,25.43,122.3,4,96.8,79,67.1,248,0.003,163,18.78,5,111.7,8,92.9,3,2.86,162,1.0,,,,,,,S,2021,0.335800736,0.664199264,1,0.43941085248528794,0.5605891475147119,1
26,Texas,3,B12,19,7,20.58,113.8,21,93.3,36,69.2,138,0.017,140,14.05,30,109.0,41,94.9,23,8.32,80,1.0,,,,,,,E,2021,0.59182987,0.40817013,0,0.5651777797151692,0.4348222202848307,0
3,Illinois,1,B10,23,6,30.61,119.0,7,88.3,5,70.7,80,0.03,110,18.88,3,112.6,2,93.7,9,9.95,57,1.0,,,,,,,M,2021,0.224292259,0.775707741,1,0.2560044669084631,0.7439955330915368,1
6,Houston,2,Amer,24,3,28.82,118.9,8,90.1,16,64.9,327,-0.009000000000000001,201,6.57,106,103.7,151,97.1,74,1.63,186,1.0,,,,,,,M,2021,0.582801193,0.417198807,0,0.5886808953258126,0.41131910467418736,0
18,Arkansas,3,SEC,22,6,21.53,111.5,35,90.0,14,73.1,17,0.055999999999999994,57,11.19,60,108.2,56,97.0,69,-5.28,282,1.0,,,,,,,S,2021,0.45885727,0.54114273,1,0.4367115308984803,0.5632884691015198,1
15,Florida St.,4,ACC,16,6,22.07,116.4,10,94.4,48,70.6,84,-0.011000000000000001,207,12.54,44,108.8,46,96.2,45,4.23,142,1.0,,,,,,,E,2021,0.516637931,0.483362069,0,0.5966339909599493,0.40336600904005077,0
17,Colorado,5,P12,22,8,21.68,114.4,17,92.7,29,66.4,280,-0.033,252,10.78,68,107.8,66,97.0,71,1.99,180,1.0,,,,,,,E,2021,0.568922605,0.431077395,0,0.5556962885841151,0.4443037114158848,0
5,Iowa,2,B10,21,8,28.9,123.5,2,94.6,50,70.0,100,-0.027999999999999997,240,16.91,13,110.3,19,93.4,6,-5.43,286,1.0,,,,,,,W,2021,0.450000923,0.5499990770000001,1,0.4405655975351544,0.5594344024648455,1
22,Kansas,3,B12,20,8,21.03,109.6,59,88.6,6,68.3,186,0.042,87,14.71,20,110.0,23,95.3,31,10.14,56,1.0,,,,,,,W,2021,0.674009292,0.325990708,0,0.6807770982167933,0.31922290178320667,0
27,West Virginia,3,B12,18,9,20.32,116.1,11,95.8,65,69.6,114,-0.04,264,14.84,19,109.2,37,94.4,17,13.58,27,1.0,,,,,,,M,2021,0.48880302200000003,0.511196978,1,0.4889183375305722,0.5110816624694278,1
11,Virginia,4,ACC,18,6,22.65,115.6,12,93.0,33,60.1,357,0.046,83,12.02,53,109.6,30,97.6,84,0.28,210,1.0,,,,,,,W,2021,0.68295306,0.31704694,0,0.6729065624024275,0.3270934375975724,0
13,Purdue,4,B10,18,9,22.27,113.6,23,91.3,23,66.5,274,0.019,131,17.27,11,111.5,11,94.2,12,5.71,114,1.0,,,,,,,S,2021,0.382637071,0.617362929,1,0.40243486854229044,0.5975651314577096,1
24,BYU,6,WCC,20,6,20.95,113.1,28,92.2,26,68.0,200,0.045,84,10.28,73,107.8,64,97.5,82,8.69,73,1.0,,,,,,,E,2021,0.604754136,0.395245864,0,0.5913356740450258,0.4086643259549742,0
16,Connecticut,7,BE,15,7,21.9,113.6,24,91.7,25,66.0,301,-0.066,307,12.6,42,107.9,62,95.3,28,-2.02,243,1.0,,,,,,,E,2021,0.6632916870000001,0.336708313,0,0.6699530020159875,0.3300469979840124,0
30,Oklahoma St.,4,B12,20,8,18.77,110.1,54,91.3,22,72.0,43,0.039,89,14.63,22,110.6,16,96.0,42,4.55,134,1.0,,,,,,,M,2021,0.5345660289999999,0.465433971,0,0.5979432068331938,0.40205679316680615,0
19,Creighton,5,BE,20,8,21.31,114.9,14,93.6,40,69.1,144,0.001,172,12.52,45,107.8,63,95.3,29,-1.4,233,1.0,,,,,,,W,2021,0.538985281,0.46101471899999996,0,0.538384151896262,0.461615848103738,0
14,USC,6,P12,22,7,22.22,112.9,30,90.7,19,67.3,236,-0.006,194,11.13,64,108.1,57,97.0,70,5.03,128,1.0,,,,,,,W,2021,0.543932347,0.45606765299999996,0,0.5440005739306706,0.4559994260693294,0
12,Villanova,5,BE,16,6,22.62,118.6,9,96.0,68,65.1,320,-0.006,196,12.99,41,108.8,44,95.9,41,7.33,91,1.0,,,,,,,S,2021,0.513304688,0.48669531200000005,0,0.5133012120628523,0.48669878793714777,0
21,Tennessee,5,SEC,18,8,21.06,108.8,71,87.7,4,67.3,233,-0.006999999999999999,199,12.44,49,108.3,54,95.8,40,-0.69,223,1.0,,,,,,,M,2021,0.605834679,0.394165321,0,0.6224034167477716,0.3775965832522285,0
20,San Diego St.,6,MWC,23,4,21.3,110.8,44,89.5,11,66.1,298,0.018000000000000002,134,6.26,109,105.7,102,99.4,121,10.85,49,1.0,,,,,,,M,2021,0.45770123799999995,0.542298762,1,0.46432737411046654,0.5356726258895335,1
29,LSU,8,SEC,18,9,19.59,119.8,5,100.2,125,70.8,78,0.002,167,13.5,37,107.8,65,94.3,14,0.56,204,1.0,,,,,,,E,2021,0.834312775,0.165687225,0,0.8408353606030307,0.15916463939696932,0
36,Oregon,7,P12,20,6,17.68,114.5,16,96.8,76,67.2,242,0.048,76,10.06,75,107.7,68,97.6,89,2.73,164,1.0,,,,,,,W,2021,0.7155430779999999,0.284456922,0,0.6921505270830869,0.30784947291691306,0
39,Oklahoma,8,B12,15,10,16.64,111.4,36,94.8,53,67.7,222,-0.038,260,12.45,48,108.2,55,95.7,38,0.59,203,1.0,,,,,,,W,2021,0.646491946,0.35350805399999996,0,0.6398138165872659,0.36018618341273406,0
42,Clemson,7,ACC,16,7,16.17,106.9,99,90.7,20,64.2,338,0.12300000000000001,7,14.19,29,109.5,33,95.3,30,11.65,42,1.0,,,,,,,M,2021,0.593253115,0.406746885,0,0.5565856038883032,0.4434143961116968,0
9,Loyola Chicago,8,MVC,24,4,23.75,110.4,49,86.7,1,64.2,342,-0.02,226,4.11,134,104.3,136,100.2,136,4.7,129,1.0,,,,,,,M,2021,0.54001857,0.45998143,0,0.5695376401636096,0.43046235983639053,0
25,St. Bonaventure,9,A10,16,4,20.82,111.3,38,90.5,17,65.2,319,0.013999999999999999,143,8.29,90,105.8,97,97.6,83,2.86,163,1.0,,,,,,,E,2021,0.586655222,0.41334477799999997,0,0.583319954101996,0.41668004589800406,0
31,Maryland,10,B10,16,13,18.72,110.9,42,92.2,27,65.3,317,-0.035,253,17.06,12,110.1,22,93.1,4,-0.8,225,1.0,,,,,,,E,2021,0.610928527,0.38907147299999995,0,0.6018387800369231,0.3981612199630769,0
56,Michigan St.,11,B10,15,12,14.01,107.0,98,93.0,32,68.6,166,0.106,16,18.16,8,112.5,3,94.3,15,-0.53,220,,,,,,,,E,2021,0.680189605,0.319810395,0,0.6168897657294498,0.3831102342705502,0
44,UCLA,11,P12,17,9,15.92,113.4,26,97.5,86,64.7,332,0.024,119,11.87,55,108.6,50,96.7,61,9.09,68,,,,,,,,E,2021,0.579211778,0.42078822200000005,0,0.5358919121964253,0.46410808780357476,0
51,Missouri,9,SEC,16,9,15.15,110.2,51,95.1,58,68.7,160,0.08800000000000001,24,15.08,17,109.8,25,94.7,20,9.77,59,1.0,,,,,,,W,2021,0.6192038470000001,0.38079615299999997,0,0.6025659549824248,0.39743404501757507,0
32,Georgia Tech,9,ACC,17,8,18.55,113.3,27,94.8,52,67.8,215,-0.005,192,12.25,50,108.7,47,96.5,51,-0.99,228,1.0,,,,,,,M,2021,0.556178243,0.44382175700000004,0,0.5394831489335715,0.4605168510664284,0
55,Georgetown,12,BE,13,12,14.06,107.7,85,93.6,41,69.6,113,0.001,171,14.45,25,110.3,21,95.8,39,4.5,135,1.0,,,,,,,E,2021,0.739686827,0.260313173,0,0.7230162042433358,0.27698379575666415,0
45,VCU,10,A10,19,7,15.91,105.5,117,89.6,12,69.8,110,0.035,98,8.96,86,106.6,87,97.6,86,5.52,119,1.0,,,,,,,W,2021,0.7591332829999999,0.24086671699999998,0,0.7157655419744394,0.28423445802556063,0
23,Texas Tech,6,B12,17,10,20.95,112.4,33,91.4,24,65.4,316,-0.091,333,11.29,59,108.0,60,96.7,60,-5.55,288,1.0,,,,,,,S,2021,0.748751574,0.251248426,0,0.7185867546813155,0.28141324531868445,0
37,Florida,7,SEC,14,9,17.55,111.0,40,93.4,37,68.6,165,0.003,166,14.62,23,109.7,27,95.1,25,8.64,76,1.0,,,,,,,S,2021,0.629925865,0.370074135,0,0.6165907422502623,0.38340925774973766,0
53,Drake,11,MVC,25,4,14.64,113.9,19,99.3,120,66.8,265,0.095,21,2.18,157,102.9,172,100.7,138,-9.27,310,,,,,,,,W,2021,0.697418746,0.30258125399999997,0,0.7127008195797094,0.2872991804202905,0
